county_name,county_population,total,fail_to_attend_cases_filed_2020,parents_contrib_to_nonattend_cases_filed_2020,fail_to_attend_cases_filed_2021,parents_contrib_to_nonattend_cases_filed_2021,fail_to_attend_cases_filed_2022,parents_contrib_to_nonattend_cases_filed_2022,fail_to_attend_cases_filed_2023,parents_contrib_to_nonattend_cases_filed_2023,fail_to_attend_cases_filed_2024,parents_contrib_to_nonattend_cases_filed_2024,fail_to_attend_cases_filed_2025,parents_contrib_to_nonattend_cases_filed_2025
Wharton,"42,035",347,0,22,0,84,0,112,0,42,0,62,0,25
Jim Wells,"38,886",579,15,52,41,61,70,141,80,24,67,0,28,0
Hopkins,"38,784",466,21,10,42,25,39,17,62,20,99,33,79,19
Hill,"38,771",67,14,0,14,1,9,0,4,4,12,2,5,2
Fannin,"38,650",75,0,1,1,17,0,33,0,11,0,6,0,6
Brown,"38,631",532,0,18,0,28,0,127,0,174,0,126,0,59
Washington,"37,810",0,0,0,0,0,0,0,0,0,0,0,0,0
Matagorda,"36,391",96,0,80,0,8,0,0,0,4,0,3,0,1
Grimes,"33,448",43,0,0,0,0,8,2,16,0,6,1,5,5
Jasper,"32,907",83,0,6,0,0,0,2,0,33,0,9,0,33
Austin,"32,546",15,0,0,0,3,0,1,0,4,0,4,0,3
Hale,"31,953","3,548",102,137,341,415,257,315,263,332,429,578,155,224
Titus,"31,547",620,0,136,0,94,0,161,0,92,0,67,0,70
Bee,"31,226",80,5,2,17,7,5,12,0,13,0,4,0,15
Howard,"30,833",704,52,19,74,98,70,229,1,101,0,36,0,24
Kleberg,"30,442",130,7,0,22,7,20,2,19,0,14,39,0,0
Palo Pinto,"30,231",335,184,29,24,1,36,24,16,1,11,9,0,0
San Jacinto,"29,326",25,0,0,0,0,0,0,0,0,0,5,1,19
Cass,"28,622",45,1,2,4,8,0,14,0,7,5,4,0,0
Gillespie,"28,159",23,0,4,0,9,0,10,0,0,0,0,0,0
Milam,"26,159",323,37,29,58,0,80,0,40,0,64,0,15,0
Aransas,"25,595",539,0,82,0,108,0,65,0,102,0,118,0,64
Fayette,"25,488",23,1,0,1,3,0,3,0,6,0,4,0,5
Uvalde,"25,138",0,0,0,0,0,0,0,0,0,0,0,0,0
Shelby,"24,192",78,0,16,0,0,0,7,0,16,0,35,0,4
Lampasas,"23,539",73,0,0,0,0,0,0,13,11,22,3,10,14
Llano,"23,163",1,0,0,0,0,0,0,0,0,0,0,0,1
Panola,"23,022",4,0,0,0,0,0,0,1,0,3,0,0,0
Gaines,"22,892",89,0,5,1,0,4,0,10,7,1,15,21,25
Bandera,"22,830",26,0,0,0,0,0,0,1,5,0,2,0,18
Limestone,"22,569",80,0,13,1,16,2,22,4,18,1,1,0,2
Houston,"22,197",14,2,0,3,0,3,2,3,0,0,1,0,0
Montague,"21,890",0,0,0,0,0,0,0,0,0,0,0,0,0
Moore,"21,872",10,0,0,7,3,0,0,0,0,0,0,0,0
Hockley,"21,505",867,29,51,93,121,40,102,55,84,64,64,54,110
Colorado,"21,475",123,0,18,0,7,0,17,0,23,0,31,0,27
Gray,"20,888",216,0,0,0,0,0,14,0,118,0,84,0,0
Jones,"20,850",23,1,2,0,5,0,2,1,8,4,0,0,0
Freestone,"20,645",31,0,0,14,0,9,0,1,1,0,3,3,0
Lavaca,"20,605",28,4,0,0,0,15,0,4,0,3,0,2,0
Tyler,"20,560",52,1,18,0,1,1,25,0,6,,,,
DeWitt,"20,252",314,11,0,20,0,36,24,31,33,47,87,2,23
Burleson,"20,179",336,0,48,0,96,0,81,5,16,6,37,15,32
Gonzales,"20,040",0,0,0,0,0,0,0,0,0,0,0,0,0
Willacy,"20,027",1,0,0,0,0,0,1,0,0,0,0,0,0
Calhoun,"19,942",601,46,41,30,14,64,11,102,20,99,51,86,37
Hutchinson,"19,721",488,32,22,49,57,59,40,69,57,36,27,21,19
Frio,"19,520",0,0,0,0,0,0,0,0,0,0,0,0,0
Bosque,"19,013",41,0,0,0,3,0,0,0,4,0,14,0,20
Andrews,"18,923",349,10,43,27,51,6,50,1,47,0,60,0,54
Deaf Smith,"18,495",8,0,0,0,1,0,2,0,3,0,1,0,1
Lee,"18,451",7,2,0,2,0,0,0,3,0,0,0,0,0
Eastland,"18,290",2,0,1,0,0,0,0,1,0,0,0,,
Young,"18,236",0,0,0,0,0,0,0,0,0,0,0,0,0
Falls,"17,752",2,2,0,0,0,0,0,0,0,0,0,0,0
Robertson,"17,659",2,0,0,0,0,0,1,0,1,0,0,0,0
Leon,"16,698",48,1,0,15,9,15,6,1,1,,,,
Scurry,"16,211",233,7,11,6,15,22,38,38,39,40,0,17,0
Jackson,"15,284",209,0,15,0,11,4,6,19,23,43,48,22,18
Karnes,"15,137",727,67,36,101,81,102,76,40,23,101,10,76,14
Pecos,"14,712",560,45,45,140,43,119,87,38,43,0,0,0,0
Callahan,"14,615",0,0,0,0,0,0,0,0,0,0,0,0,0
Trinity,"14,489",21,0,0,0,0,0,1,5,0,12,0,3,0
Comanche,"14,359",3,0,0,0,0,0,0,3,0,0,0,0,0
Nolan,"14,182",290,34,16,65,38,22,18,16,14,16,26,12,13
Madison,"13,877",0,0,0,0,0,0,0,0,0,0,0,,
Zapata,"13,819",97,0,0,0,0,2,14,4,77,0,0,0,0
Blanco,"13,358",4,0,0,0,0,0,0,0,0,0,4,0,0
Rains,"13,306",42,0,1,3,10,0,28,0,0,,,,
Camp,"13,164",0,0,0,0,0,0,0,0,0,0,0,0,0
Lamb,"12,687",212,0,0,17,2,50,3,45,11,45,0,39,0
Wilbarger,"12,455",0,0,0,0,0,0,0,0,0,0,0,0,0
Morris,"12,184",0,0,0,0,0,0,0,,,,,,
Live Oak,"11,967",0,0,0,0,0,0,0,0,0,0,0,0,0
Reeves,"11,956",88,0,0,0,0,0,0,27,0,31,0,7,23
Newton,"11,908",133,0,0,3,0,0,0,42,0,42,0,46,0
Dawson,"11,758",814,0,0,0,0,0,123,0,167,0,292,0,232
Red River,"11,696",15,0,0,1,0,3,1,2,0,1,2,5,0
Terry,"11,602",647,18,23,16,23,43,66,40,64,60,141,48,105
Ward,"11,038",106,0,0,0,45,0,29,0,17,0,11,0,4
Franklin,"10,912",0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,"10,730",1,0,0,0,0,0,0,0,0,0,1,0,0
Somervell,"10,098",0,0,0,0,0,0,0,0,0,0,0,0,0
Sabine,"10,058",0,0,0,0,0,0,0,0,0,0,0,0,0
Runnels,"9,751",0,0,0,0,0,0,0,0,0,0,0,0,0
Ochiltree,"9,717",27,0,0,1,0,7,0,13,0,6,0,,
Marion,"9,704",0,0,0,0,0,0,0,0,0,0,0,0,0
Parmer,"9,669",0,0,0,0,0,0,0,0,0,0,0,0,0
Duval,"9,585",517,2,40,13,51,5,59,9,99,6,186,0,47
Brewster,"9,508",0,0,0,0,0,0,0,0,0,0,0,0,0
Stephens,"9,475",0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,"9,398",0,0,0,0,0,0,0,0,0,0,0,0,0
Zavala,"9,209",50,1,0,25,24,0,0,0,0,0,0,0,0
Archer,"9,155",6,0,0,3,0,1,0,2,0,0,0,0,0
Mitchell,"8,968",8,2,0,0,2,0,0,2,0,2,0,0,0
Hamilton,"8,644",389,2,85,1,23,2,123,3,70,2,66,1,11
Dimmit,"8,181",0,0,0,0,0,0,0,0,0,0,0,0,0
Coleman,"7,990",0,0,0,0,0,0,0,0,0,0,0,0,0
